year,CityName,AIRSNeedCategory,contact_count,population,contacts_per_10000
2024,Alert Bay,Information Services,1,,
2024,Alert Bay,Legal/Public Safety,3,,
2024,Alert Bay,Mental Health/Substance Use Disorders,2,,
2024,Borden,Health,1,,
2024,Borden,Mental Health/Substance Use Disorders,5,,
2024,Cold Lake,Community Services,6,,
2024,Cold Lake,Consumer Services,2,,
2024,Cold Lake,Education,2,,
2024,Cold Lake,Food/Meals,6,,
2024,Cold Lake,Health,4,,
2024,Cold Lake,Housing,35,,
2024,Cold Lake,Income Support/Financial Assistance,43,,
2024,Cold Lake,Individual/Family Services,4,,
2024,Cold Lake,Information Services,23,,
2024,Cold Lake,Legal/Public Safety,16,,
2024,Cold Lake,Mental Health/Substance Use Disorders,21,,
2024,Cold Lake,Other Government/Economic Services,3,,
2024,Cold Lake,Unknown,5,,
2024,Cold Lake,Utility Assistance,3,,
2024,Cold Lake,Volunteers/Donations,2,,
2024,Comox,"Arts, Culture and Recreation",2,,
2024,Comox,Citizenship/Immigration,2,,
2024,Comox,Community Services,1,,
2024,Comox,Consumer Services,1,,
2024,Comox,Disaster,3,,
2024,Comox,Education,1,,
2024,Comox,Food/Meals,5,,
2024,Comox,Health,8,,
2024,Comox,Housing,13,,
2024,Comox,Income Support/Financial Assistance,3,,
2024,Comox,Individual/Family Services,9,,
2024,Comox,Information Services,7,,
2024,Comox,Legal/Public Safety,29,,
2024,Comox,Mental Health/Substance Use Disorders,16,,
2024,Comox,Other Government/Economic Services,3,,
2024,Comox,Transportation,2,,
2024,Comox,Utility Assistance,1,,
2024,Edmonton,"Arts, Culture and Recreation",427,1200000.0,3.558333333333333
2024,Edmonton,Citizenship/Immigration,468,1200000.0,3.9
2024,Edmonton,Community Services,2144,1200000.0,17.866666666666667
2024,Edmonton,Consumer Services,864,1200000.0,7.2
2024,Edmonton,Disaster,88,1200000.0,0.7333333333333333
2024,Edmonton,Education,310,1200000.0,2.5833333333333335
2024,Edmonton,Employment,1001,1200000.0,8.341666666666667
2024,Edmonton,Food/Meals,2201,1200000.0,18.341666666666665
2024,Edmonton,Health,2160,1200000.0,18.0
2024,Edmonton,Housing,8817,1200000.0,73.475
2024,Edmonton,Income Support/Financial Assistance,6792,1200000.0,56.6
2024,Edmonton,Individual/Family Services,2839,1200000.0,23.658333333333335
2024,Edmonton,Information Services,4871,1200000.0,40.59166666666667
2024,Edmonton,Legal/Public Safety,5402,1200000.0,45.016666666666666
2024,Edmonton,Mental Health/Substance Use Disorders,11994,1200000.0,99.95
2024,Edmonton,Other Government/Economic Services,1655,1200000.0,13.791666666666666
2024,Edmonton,Transportation,9617,1200000.0,80.14166666666667
2024,Edmonton,Unknown,1237,1200000.0,10.308333333333332
2024,Edmonton,Utility Assistance,518,1200000.0,4.316666666666666
2024,Edmonton,Volunteers/Donations,507,1200000.0,4.2250000000000005
2024,Esquimalt,"Arts, Culture and Recreation",1,19512.0,0.5125051250512505
2024,Esquimalt,Consumer Services,1,19512.0,0.5125051250512505
2024,Esquimalt,Food/Meals,2,19512.0,1.025010250102501
2024,Esquimalt,Health,1,19512.0,0.5125051250512505
2024,Esquimalt,Housing,5,19512.0,2.5625256252562525
2024,Esquimalt,Income Support/Financial Assistance,2,19512.0,1.025010250102501
2024,Esquimalt,Individual/Family Services,5,19512.0,2.5625256252562525
2024,Esquimalt,Information Services,1,19512.0,0.5125051250512505
2024,Esquimalt,Legal/Public Safety,7,19512.0,3.587535875358754
2024,Esquimalt,Mental Health/Substance Use Disorders,7,19512.0,3.587535875358754
2024,Esquimalt,Transportation,1,19512.0,0.5125051250512505
2024,Greenwood,"Arts, Culture and Recreation",2,,
2024,Greenwood,Community Services,2,,
2024,Greenwood,Disaster,2,,
2024,Greenwood,Employment,2,,
2024,Greenwood,Food/Meals,1,,
2024,Greenwood,Health,13,,
2024,Greenwood,Housing,10,,
2024,Greenwood,Income Support/Financial Assistance,3,,
2024,Greenwood,Individual/Family Services,2,,
2024,Greenwood,Information Services,4,,
2024,Greenwood,Legal/Public Safety,2,,
2024,Greenwood,Mental Health/Substance Use Disorders,2,,
2024,Greenwood,Other Government/Economic Services,2,,
2024,Greenwood,Unknown,1,,
2024,Greenwood,Utility Assistance,2,,
2024,Halifax,"Arts, Culture and Recreation",111,503037.0,2.206597129038222
2024,Halifax,Citizenship/Immigration,58,503037.0,1.1529966980560078
2024,Halifax,Community Services,570,503037.0,11.33117444641249
2024,Halifax,Consumer Services,258,503037.0,5.128847381007759
2024,Halifax,Disaster,134,503037.0,2.663819957577673
2024,Halifax,Education,46,503037.0,0.9144456570789027
2024,Halifax,Employment,88,503037.0,1.7493743004987703
2024,Halifax,Food/Meals,1247,503037.0,24.78942900820417
2024,Halifax,Health,1743,503037.0,34.649538701924506
2024,Halifax,Housing,1344,503037.0,26.717716589435767
2024,Halifax,Income Support/Financial Assistance,908,503037.0,18.05036210060095
2024,Halifax,Individual/Family Services,879,503037.0,17.473863751572946
2024,Halifax,Information Services,641,503037.0,12.742601438860362
2024,Halifax,Legal/Public Safety,737,503037.0,14.651009766677202
2024,Halifax,Mental Health/Substance Use Disorders,1697,503037.0,33.735093044845605
2024,Halifax,Other Government/Economic Services,920,503037.0,18.288913141578053
2024,Halifax,Transportation,347,503037.0,6.898100934921287
2024,Halifax,Unknown,339,503037.0,6.739066907603219
2024,Halifax,Utility Assistance,353,503037.0,7.017376455409841
2024,Halifax,Volunteers/Donations,121,503037.0,2.4053896631858094
2024,Happy Valley-Goose Bay,Citizenship/Immigration,1,,
2024,Happy Valley-Goose Bay,Health,2,,
2024,Happy Valley-Goose Bay,Housing,2,,
2024,Happy Valley-Goose Bay,Information Services,1,,
2024,Kingston,"Arts, Culture and Recreation",35,,
2024,Kingston,Citizenship/Immigration,14,,
2024,Kingston,Community Services,30,,
2024,Kingston,Consumer Services,32,,
2024,Kingston,Disaster,4,,
2024,Kingston,Education,5,,
2024,Kingston,Employment,9,,
2024,Kingston,Food/Meals,73,,
2024,Kingston,Health,189,,
2024,Kingston,Housing,188,,
2024,Kingston,Income Support/Financial Assistance,69,,
2024,Kingston,Individual/Family Services,64,,
2024,Kingston,Information Services,98,,
2024,Kingston,"Legal, Consumer and Public Safety Services",1,,
2024,Kingston,Legal/Public Safety,92,,
2024,Kingston,Mental Health/Substance Use Disorders,167,,
2024,Kingston,Other Government/Economic Services,76,,
2024,Kingston,Transportation,38,,
2024,Kingston,Unknown,26,,
2024,Kingston,Utility Assistance,68,,
2024,Kingston,Volunteers/Donations,9,,
2024,Montreal,Education,1,,
2024,Montreal,Food/Meals,2,,
2024,Montreal,Health,2,,
2024,Montreal,Housing,8,,
2024,Montreal,Information Services,1,,
2024,Montreal,Legal/Public Safety,1,,
2024,Montreal,Mental Health/Substance Use Disorders,1,,
2024,Montreal,Other Government/Economic Services,1,,
2024,MontrxE9al,"Arts, Culture and Recreation",2,,
2024,MontrxE9al,Citizenship/Immigration,6,,
2024,MontrxE9al,Clothing/Personal/Household Needs,1,,
2024,MontrxE9al,Disaster,1,,
2024,MontrxE9al,Disaster Services,3,,
2024,MontrxE9al,Education,1,,
2024,MontrxE9al,Employment,5,,
2024,MontrxE9al,Food/Meals,3,,
2024,MontrxE9al,Housing,45,,
2024,MontrxE9al,Income Support/Assistance,1,,
2024,MontrxE9al,"Individual, Family and Community Support",3,,
2024,MontrxE9al,Information Services,18,,
2024,MontrxE9al,"Legal, Consumer and Public Safety Services",9,,
2024,MontrxE9al,Legal/Public Safety,3,,
2024,MontrxE9al,Mental Health/Substance Use Disorders,4,,
2024,MontrxE9al,Transportation,1,,
2024,MontrxE9al,Unknown,2,,
2024,MontrxE9al,Volunteers/Donations,1,,
2024,MontrxE9al-Est,"Arts, Culture and Recreation",4,,
2024,MontrxE9al-Est,Citizenship/Immigration,1,,
2024,MontrxE9al-Est,Clothing/Personal/Household Needs,7,,
2024,MontrxE9al-Est,Community Services,1,,
2024,MontrxE9al-Est,Consumer Services,1,,
2024,MontrxE9al-Est,Disaster Services,2,,
2024,MontrxE9al-Est,Education,2,,
2024,MontrxE9al-Est,Employment,14,,
2024,MontrxE9al-Est,Food/Meals,39,,
2024,MontrxE9al-Est,Health,1,,
2024,MontrxE9al-Est,Health Care,3,,
2024,MontrxE9al-Est,Housing,70,,
2024,MontrxE9al-Est,Income Support/Assistance,13,,
2024,MontrxE9al-Est,"Individual, Family and Community Support",11,,
2024,MontrxE9al-Est,Individual/Family Services,2,,
2024,MontrxE9al-Est,Information Services,13,,
2024,MontrxE9al-Est,"Legal, Consumer and Public Safety Services",18,,
2024,MontrxE9al-Est,Legal/Public Safety,4,,
2024,MontrxE9al-Est,Mental Health/Substance Use Disorders,12,,
2024,MontrxE9al-Est,Other Government/Economic Services,3,,
2024,MontrxE9al-Est,Transportation,5,,
2024,MontrxE9al-Est,Unknown,1,,
2024,MontrxE9al-Est,Utility Assistance,3,,
2024,MontrxE9al-Est,Volunteers/Donations,7,,
2024,MontrxE9al-Nord,"Arts, Culture and Recreation",106,,
